,District,Area (m²),Bedrooms,Bathrooms,Garage Cars,Rent (R$),Condominium Fee (R$),Total Value (R$),Value per m²
0,Vila Nova Conceição,100,3,3,1,8500,600,9100,91.0
1,Centro,70,2,2,1,2100,780,2880,41.142857
2,Moema,110,2,3,2,4200,1400,5600,50.909092
3,Liberdade,39,1,1,1,2700,540,3240,83.07692
4,Campo Belo,45,1,1,1,1950,580,2530,56.22222
5,Outro,70,2,2,1,3200,700,3900,55.714287
6,Tatuapé,20,1,1,0,1240,117,1357,67.85
7,Vila Madalena,48,1,1,1,2200,982,3182,66.291664
8,Vila Leopoldina,61,2,2,1,2900,650,3550,58.19672
9,Itaim Bibi,125,3,4,2,9500,1850,11350,90.8
10,Jardim Paulista,100,1,2,1,3750,1200,4950,49.5
11,Vila Andrade,74,2,2,2,2900,660,3560,48.10811
12,Outro,55,2,1,1,1490,0,1490,27.09091
13,Moema,144,4,6,2,5700,1640,7340,50.97222
14,Jardins,72,2,2,1,5700,1123,6823,94.763885
15,Jardim Marajoara,72,1,1,1,1495,720,2215,30.76389
16,Chácara Santo Antônio,240,5,5,4,13000,3300,16300,67.916664
17,Perdizes,65,2,1,2,1700,800,2500,38.46154
18,Outro,76,2,2,1,2350,1050,3400,44.736843
19,Vila Clementino,34,1,1,1,1750,505,2255,66.32353
20,Pinheiros,240,4,5,3,12000,2995,14995,62.479168
21,Jardim Paulista,168,3,3,2,22000,2766,24766,147.41667
22,Indianópolis,36,1,1,0,3200,450,3650,101.388885
23,Vila Uberabinha,245,4,4,4,22000,3940,25940,105.87755
24,Indianópolis,70,2,2,1,2400,907,3307,47.24286
25,Jardim Paulista,57,1,1,1,3380,1600,4980,87.36842
26,Outro,75,3,2,1,2100,0,2100,28.0
27,Consolação,50,1,1,0,2000,600,2600,52.0
28,Vila Mariana,44,1,1,0,1800,410,2210,50.227272
29,Vila Mariana,54,2,1,1,2300,630,2930,54.25926
30,Outro,66,1,2,1,2780,750,3530,53.484848
31,Outro,60,2,1,1,2000,550,2550,42.5
32,Itaim Bibi,205,3,4,2,7900,2380,10280,50.146343
33,Indianópolis,31,1,1,1,1260,1700,2960,95.48387
34,Itaim Bibi,100,3,3,1,2700,1300,4000,40.0
35,Jardim Paulista,200,3,4,4,23000,4800,27800,139.0
36,Pinheiros,35,1,1,1,3800,548,4348,124.22857
37,Brás,36,1,1,1,1900,420,2320,64.44444
38,Brás,29,1,1,0,1200,380,1580,54.482758
39,Vila Leopoldina,68,3,2,1,2350,780,3130,46.02941
40,Itaim Bibi,75,1,1,1,5000,1800,6800,90.666664
41,Outro,60,2,2,1,2500,550,3050,50.833332
42,Outro,60,2,2,1,3500,800,4300,71.666664
43,Indianópolis,75,2,2,1,2400,1093,3493,46.573334
44,Brooklin,68,2,2,1,2665,1032,3697,54.367645
45,Paraíso,240,4,6,3,10500,3540,14040,58.5
46,Itaim Bibi,95,2,1,0,4199,925,5124,53.936844
47,Jardim Paulista,77,2,2,1,5900,900,6800,88.31169
48,Brooklin,50,1,2,1,2100,730,2830,56.6
49,Santa Cecília,105,3,2,1,3000,1250,4250,40.47619
50,Consolação,50,2,1,1,1700,650,2350,47.0
51,Moema,65,2,1,1,3800,410,4210,64.76923
52,Brás,56,2,2,1,3000,500,3500,62.5
53,Cerqueira César,69,2,2,2,2800,1100,3900,56.52174
54,Outro,100,4,2,1,3200,1100,4300,43.0
55,Barra Funda,65,2,2,1,2000,780,2780,42.76923
56,Jardim Paulista,45,1,1,1,3900,760,4660,103.55556
57,Barra Funda,60,2,2,1,2100,506,2606,43.433334
58,Moema,48,1,1,1,5000,780,5780,120.416664
59,Outro,65,2,1,1,1200,300,1500,23.076923
60,Outro,55,3,1,1,1650,547,2197,39.945454
61,Tatuapé,97,3,2,1,3000,0,3000,30.927835
62,República,380,4,6,1,10000,2800,12800,33.68421
63,Santana,45,1,1,0,1900,713,2613,58.066666
64,Água Branca,90,2,2,1,1700,800,2500,27.777779
65,Chácara Santo Antônio,30,1,1,0,1656,900,2556,85.2
66,Jardim Paulista,114,3,5,1,4990,1850,6840,60.0
67,Perdizes,115,2,2,1,2599,1157,3756,32.66087
68,Vila Olímpia,52,1,2,1,6900,1100,8000,153.84616
69,Cerqueira César,90,2,2,2,7300,1300,8600,95.55556
70,Centro,56,1,1,0,1600,0,1600,28.571428
71,Brooklin,47,1,1,1,2800,536,3336,70.97872
72,Outro,105,2,4,3,3800,1600,5400,51.42857
73,Vila Madalena,77,2,2,1,2400,795,3195,41.493507
74,Higienópolis,62,2,1,0,1811,689,2500,40.322582
75,Sumaré,74,2,3,2,5900,850,6750,91.21622
76,Consolação,50,1,1,0,2125,475,2600,52.0
77,Vila Nova Conceição,78,1,2,2,8800,2308,11108,142.41026
78,Jardim Paulista,75,2,2,1,3000,1200,4200,56.0
79,Perdizes,21,1,1,0,1100,250,1350,64.28571
80,Outro,50,2,1,1,2000,500,2500,50.0
81,Saúde,70,3,2,1,2100,901,3001,42.87143
82,Jardins,62,2,1,0,1900,640,2540,40.967743
83,Vila Mariana,48,1,1,0,1350,530,1880,39.166668
84,Vila Clementino,121,3,5,2,3900,1683,5583,46.140495
85,Higienópolis,127,3,2,1,3000,900,3900,30.708662
86,Vila Mariana,131,3,2,1,3300,1480,4780,36.48855
87,Tatuapé,20,1,1,0,1240,117,1357,67.85
88,Outro,47,2,1,1,1250,380,1630,34.68085
89,Centro,51,1,1,0,2050,350,2400,47.058823
90,Outro,118,3,4,2,5000,1642,6642,56.288136
91,Bela Vista,38,1,1,0,1508,439,1947,51.236843
92,Vila Leopoldina,56,2,2,1,3400,535,3935,70.26786
93,Barra Funda,38,1,1,1,1500,479,1979,52.07895
94,Liberdade,20,1,1,0,2450,0,2450,122.5
95,Vila Olímpia,64,2,2,1,4490,840,5330,83.28125
96,Paraíso,17,1,1,0,2150,360,2510,147.64706
97,Outro,79,2,2,2,2800,700,3500,44.3038
98,Mirandópolis,37,1,1,1,2700,450,3150,85.13513
99,Alto da Lapa,105,3,3,1,2900,867,3767,35.87619
100,Moema,75,2,3,2,6000,960,6960,92.8
101,Outro,141,3,4,2,3700,1700,5400,38.29787
102,Chácara Santo Antônio,40,1,1,1,3000,590,3590,89.75
103,Outro,54,1,1,1,2000,550,2550,47.22222
104,Vila Nova Conceição,48,1,1,1,5200,1462,6662,138.79167
105,Outro,67,2,2,1,2600,819,3419,51.02985
106,Pinheiros,30,1,1,1,2200,450,2650,88.333336
107,Pinheiros,90,3,3,2,6300,1100,7400,82.22222
108,Outro,75,2,2,1,1500,651,2151,28.68
109,Centro,50,1,1,0,1100,500,1600,32.0
110,Butantã,72,3,1,1,1500,618,2118,29.416666
111,Itaim Bibi,78,2,2,1,7300,1735,9035,115.833336
112,Vila Prudente,80,2,2,1,1800,798,2598,32.475
113,Cerqueira César,60,2,1,1,1800,977,2777,46.283333
114,Vila Mariana,110,3,3,1,5900,990,6890,62.636364
115,Brooklin,35,1,1,1,1570,530,2100,60.0
116,Indianópolis,92,3,3,1,3000,790,3790,41.195652
117,Outro,97,2,3,2,2350,1230,3580,36.907215
118,Outro,52,2,1,1,1000,424,1424,27.384615
119,Jardim Paulista,50,1,1,1,2500,603,3103,62.06
120,Campo Belo,47,1,1,1,3250,800,4050,86.17021
121,Moema,115,2,1,1,8500,1239,9739,84.68696
122,Santana,66,1,2,1,3400,780,4180,63.333332
123,Outro,101,3,4,2,3300,950,4250,42.07921
124,Outro,274,4,5,3,7500,3434,10934,39.90511
125,Higienópolis,35,1,1,1,1750,519,2269,64.828575
126,Morumbi,47,1,1,0,1199,420,1619,34.446808
127,Itaim Bibi,117,2,2,1,7750,1190,8940,76.410255
128,Outro,47,1,1,1,1000,0,1000,21.276596
129,Outro,76,3,2,1,1800,724,2524,33.210526
130,Outro,50,2,1,1,2000,480,2480,49.6
131,Santo Amaro,85,3,2,2,4200,0,4200,49.411766
132,Itaim Bibi,118,2,2,1,6000,1650,7650,64.830505
133,República,400,4,5,1,5000,3000,8000,20.0
134,Vila Buarque,40,1,1,1,2500,450,2950,73.75
135,Bela Vista,64,2,1,1,2000,615,2615,40.859375
136,Jardim Paulista,105,2,2,1,5000,1100,6100,58.095238
137,Vila Mariana,110,3,2,1,3200,1150,4350,39.545456
138,Pompeia,48,1,1,1,2300,650,2950,61.458332
139,Outro,65,3,1,1,1200,580,1780,27.384615
140,Outro,50,2,1,1,1950,330,2280,45.6
141,Consolação,35,1,1,1,3000,600,3600,102.85714
142,Vila Mariana,100,3,4,3,3100,1340,4440,44.4
143,Outro,65,2,2,1,2800,691,3491,53.70769
144,Vila Anastácio,62,2,3,1,3000,453,3453,55.69355
145,Pompeia,46,1,1,1,2300,586,2886,62.739132
146,Cidade Monções,44,1,2,1,2000,616,2616,59.454544
147,Móoca,62,2,2,1,2100,458,2558,41.258064
148,Aclimação,45,1,1,0,2400,0,2400,53.333332
149,Brooklin,96,2,3,2,8250,1420,9670,100.729164
150,Outro,73,3,2,2,2100,605,2705,37.054794
151,Perdizes,170,4,5,3,8800,2200,11000,64.70588
152,Bela Vista,48,1,1,0,2600,0,2600,54.166668
153,Jaguaré,70,3,2,2,2300,700,3000,42.857143
154,Santa Cecília,255,3,3,3,8000,4900,12900,50.588234
155,Vila Carrão,16,1,1,0,550,90,640,40.0
156,Vila Olímpia,70,1,1,1,5800,0,5800,82.85714
157,Cerqueira César,28,1,1,0,2700,1000,3700,132.14285
158,Barra Funda,65,2,2,1,2100,511,2611,40.16923
159,Cerqueira César,111,3,3,1,3300,1699,4999,45.036037
160,Bela Vista,40,1,1,0,1600,408,2008,50.2
161,Vila Olímpia,83,2,2,1,2500,1572,4072,49.06024
162,Lapa,67,2,2,2,3500,490,3990,59.55224
163,Pinheiros,157,3,5,3,10000,2110,12110,77.13376
164,Jardim Paulista,52,1,1,0,2700,350,3050,58.653847
165,Outro,21,1,1,1,990,300,1290,61.42857
166,Outro,52,2,2,1,1900,0,1900,36.53846
167,Barra Funda,38,1,1,0,1700,377,2077,54.657894
168,Outro,45,1,1,0,1300,250,1550,34.444443
169,Liberdade,46,1,1,0,1500,333,1833,39.847828
170,Perdizes,140,3,3,2,4500,0,4500,32.142857
171,Outro,50,1,1,0,1750,100,1850,37.0
172,Paraíso,110,2,2,1,1875,605,2480,22.545454
173,Vila Olímpia,45,1,1,1,4380,700,5080,112.888885
174,Cidade Monções,65,3,2,2,2750,950,3700,56.923077
175,Perdizes,100,3,3,2,3400,1235,4635,46.35
176,Vila Clementino,110,3,3,2,2400,825,3225,29.318182
177,Barra Funda,33,1,1,0,1700,301,2001,60.636364
178,Perdizes,240,4,5,3,11000,3000,14000,58.333332
179,Itaim Bibi,50,1,1,1,2700,755,3455,69.1
180,Vila Prudente,75,3,2,1,3070,500,3570,47.6
181,Jardins,30,1,1,0,1700,440,2140,71.333336
182,Pinheiros,120,3,2,1,2500,0,2500,20.833334
183,Indianópolis,158,3,3,3,11000,2700,13700,86.70886
184,Liberdade,60,2,1,0,1900,690,2590,43.166668
185,Vila Sônia,48,2,1,1,1300,340,1640,34.166668
186,Pompeia,53,2,1,1,1650,757,2407,45.415092
187,Jardim Paulista,78,2,2,1,3200,0,3200,41.025642
188,Higienópolis,90,3,1,0,3000,0,3000,33.333332
189,Vila Mariana,65,2,2,1,1900,490,2390,36.76923
190,Consolação,50,1,1,0,2000,600,2600,52.0
191,Jabaquara,37,2,1,0,1295,0,1295,35.0
192,Consolação,27,1,1,0,1100,361,1461,54.11111
193,Jabaquara,20,1,1,0,1135,185,1320,66.0
194,Outro,65,2,1,1,1195,586,1781,27.4
195,Bela Vista,25,1,1,1,1700,600,2300,92.0
196,Pinheiros,75,2,2,0,2400,550,2950,39.333332
197,Vila Mariana,18,1,1,0,1600,0,1600,88.888885
198,Santa Cecília,50,1,1,0,1500,800,2300,46.0
199,Consolação,25,1,1,0,1951,380,2331,93.24
200,Outro,288,4,6,4,6500,0,6500,22.569445
201,Alto de Pinheiros,90,3,2,1,2800,825,3625,40.27778
202,Centro,37,1,1,1,2200,380,2580,69.72973
203,Cambuci,25,1,1,0,950,0,950,38.0
204,Outro,207,5,6,3,9500,2100,11600,56.038647
205,Vila Anastácio,157,4,5,3,8500,1300,9800,62.420383
206,Outro,59,2,1,1,900,265,1165,19.745762
207,Ipiranga,25,1,1,0,800,100,900,36.0
208,Outro,45,2,1,1,900,0,900,20.0
209,Outro,20,1,1,0,890,0,890,44.5
210,Outro,65,2,1,1,1800,480,2280,35.076923
211,Vila Mariana,62,2,2,1,2250,700,2950,47.580647
212,Jardim Anália Franco,100,3,3,2,6390,1040,7430,74.3
213,Perdizes,110,3,3,1,3500,1700,5200,47.272728
214,Outro,56,2,2,1,2000,250,2250,40.17857
215,Sumaré,50,1,1,1,2000,780,2780,55.6
216,Santa Cecília,70,2,2,1,2700,667,3367,48.1
217,Brooklin,84,2,3,2,7900,1100,9000,107.14286
218,Brooklin,55,1,1,1,1600,812,2412,43.854546
219,Jaguaré,82,3,3,2,4200,650,4850,59.146343
220,Perdizes,126,3,3,0,3000,1300,4300,34.126984
221,Outro,42,1,2,1,1000,622,1622,38.61905
222,Liberdade,30,1,1,0,500,360,860,28.666666
223,Pinheiros,32,1,1,1,2500,800,3300,103.125
224,Perdizes,110,3,3,3,2900,2150,5050,45.909092
225,Tatuapé,80,2,1,0,1390,280,1670,20.875
226,Vila Mascote,120,2,4,3,3500,2200,5700,47.5
227,Morumbi,100,2,2,2,3000,1200,4200,42.0
228,Outro,45,2,1,1,700,0,700,15.555555
229,Tatuapé,20,1,1,0,950,0,950,47.5
230,Vila Mariana,104,3,2,1,2500,1200,3700,35.576923
231,Vila Mariana,15,1,1,0,1600,0,1600,106.666664
232,Santa Cecília,50,1,1,1,1340,1550,2890,57.8
233,Outro,60,3,1,1,1505,345,1850,30.833334
234,Jardim Prudência,64,2,2,1,2000,600,2600,40.625
235,Vila Gomes Cardim,137,3,4,3,3000,1393,4393,32.065693
236,Vila Andrade,58,2,1,1,1600,550,2150,37.068966
237,Cerqueira César,88,2,2,1,2500,0,2500,28.40909
238,Moema,630,5,7,6,110000,4706,114706,182.07301
239,Morumbi,50,1,1,1,2700,478,3178,63.56
240,Aclimação,115,3,2,1,2390,865,3255,28.304348
241,Alto da Lapa,66,2,2,2,2800,1000,3800,57.575756
242,Jardins,85,2,3,1,3950,1319,5269,61.988235
243,Santo Amaro,51,2,1,1,1370,430,1800,35.294117
244,Campo Belo,50,1,1,1,3500,420,3920,78.4
245,Vila Mariana,53,2,2,1,2899,950,3849,72.62264
246,Butantã,84,3,2,2,1900,1120,3020,35.95238
247,Brooklin,124,3,4,2,7000,1531,8531,68.798386
248,Outro,52,2,1,1,1700,483,2183,41.98077
249,Chácara Santo Antônio,70,2,2,1,2200,800,3000,42.857143
250,Pinheiros,84,2,2,2,3500,1050,4550,54.166668
251,Campo Belo,80,2,2,2,3000,729,3729,46.6125
252,Perdizes,70,2,1,1,2500,880,3380,48.285713
253,Bela Vista,42,1,1,1,1750,375,2125,50.595238
254,Bela Vista,42,1,1,0,2200,415,2615,62.261906
255,Vila Mascote,55,2,1,1,2000,615,2615,47.545456
256,Ipiranga,68,2,2,1,2300,708,3008,44.235294
257,Vila Andrade,163,3,5,3,6000,1880,7880,48.34356
258,Brooklin,60,2,2,1,2400,580,2980,49.666668
259,Pinheiros,32,1,1,1,2500,770,3270,102.1875
260,Vila Mariana,80,2,2,1,2300,796,3096,38.7
261,Pinheiros,35,1,1,1,3690,790,4480,128.0
262,Brooklin,94,2,3,2,5700,832,6532,69.489365
263,Perdizes,91,3,3,1,3250,950,4200,46.153847
264,Jardins,140,2,3,2,16300,2400,18700,133.57143
265,Brooklin,116,3,3,2,6000,1300,7300,62.931034
266,Tatuapé,40,1,1,1,1850,400,2250,56.25
267,Moema,62,2,2,1,3000,1150,4150,66.935486
268,Campo Belo,211,3,4,2,7000,2100,9100,43.12796
269,Brooklin,60,2,2,1,2700,830,3530,58.833332
270,Outro,57,2,1,0,1500,300,1800,31.578947
271,Outro,79,2,2,2,5500,656,6156,77.92405
272,Vila Mariana,40,1,1,1,2200,650,2850,71.25
273,Outro,36,2,2,0,1200,190,1390,38.61111
274,Consolação,33,1,1,1,2500,383,2883,87.36364
275,Moema,125,3,4,2,8000,1200,9200,73.6
276,Butantã,85,3,2,1,1500,620,2120,24.941177
277,Pompeia,63,2,2,1,3200,550,3750,59.52381
278,Outro,50,1,1,0,690,589,1279,25.58
279,Consolação,53,1,1,1,2000,1700,3700,69.81132
280,Brás,55,2,1,1,1450,405,1855,33.727272
281,Moema,74,2,3,1,4100,1250,5350,72.297295
282,Bela Vista,75,1,2,0,2100,511,2611,34.81333
283,Bom Retiro,100,3,2,0,1500,720,2220,22.2
284,Brooklin,67,2,1,1,3800,860,4660,69.55224
285,Outro,55,2,2,1,1500,388,1888,34.327274
286,Móoca,62,4,2,1,2500,400,2900,46.774193
287,Moema,157,3,4,2,6000,2287,8287,52.78344
288,Vila Olímpia,48,1,1,1,3300,900,4200,87.5
289,Tatuapé,29,1,1,0,1430,142,1572,54.206898
290,Perdizes,104,3,3,2,7300,989,8289,79.70192
291,Brooklin,30,1,1,1,2200,480,2680,89.333336
292,Itaim Bibi,110,2,3,2,6490,2105,8595,78.13636
293,Vila Buarque,31,1,1,1,1700,557,2257,72.80645
294,Vila Mariana,84,2,2,1,2100,302,2402,28.595238
295,Pinheiros,31,1,1,1,2300,965,3265,105.32258
296,Santana,40,2,1,1,2000,0,2000,50.0
297,Outro,47,2,1,0,1400,0,1400,29.787233
298,Jardim Paulista,45,2,1,1,2400,879,3279,72.86667
299,Vila Leopoldina,114,3,4,2,4990,1300,6290,55.175438
300,Outro,57,2,1,1,1200,509,1709,29.982456
301,Higienópolis,280,4,6,4,8000,3625,11625,41.517857
302,Higienópolis,93,3,2,1,3000,934,3934,42.301075
303,Itaim Bibi,105,2,2,1,4300,993,5293,50.409523
304,Consolação,68,2,1,1,2200,950,3150,46.32353
305,Itaim Bibi,37,1,1,1,2500,920,3420,92.432434
306,Brooklin,85,3,4,2,7300,901,8201,96.48235
307,Jardim Europa,250,4,3,3,12500,6100,18600,74.4
308,Outro,70,1,1,2,2400,599,2999,42.842857
309,Paraíso,70,2,1,0,2000,509,2509,35.842857
310,Outro,97,3,2,2,3500,0,3500,36.082474
311,Cerqueira César,58,2,2,1,2200,763,2963,51.08621
312,Centro,20,1,1,0,1300,354,1654,82.7
313,Outro,57,2,1,1,1700,640,2340,41.05263
314,Perdizes,80,3,3,1,2300,1330,3630,45.375
315,Pinheiros,60,2,2,2,2400,1300,3700,61.666668
316,Móoca,60,3,2,1,2000,550,2550,42.5
317,Santa Cecília,72,2,1,0,2000,600,2600,36.11111
318,Jabaquara,55,2,1,1,1000,1021,2021,36.745453
319,Pinheiros,34,1,1,1,3650,450,4100,120.588234
320,Campo Belo,85,2,2,2,3500,1400,4900,57.64706
321,Outro,85,1,2,1,4080,1200,5280,62.117645
322,Outro,18,1,1,0,1050,40,1090,60.555557
323,Brooklin,34,1,1,1,2800,350,3150,92.64706
324,Vila Prudente,55,2,2,1,1700,278,1978,35.963634
325,Pinheiros,45,2,1,1,2600,750,3350,74.44444
326,Chácara Santo Antônio,104,3,3,2,4500,865,5365,51.58654
327,Outro,753,5,7,7,75000,14,75014,99.620186
328,Vila Romana,60,2,1,0,1800,140,1940,32.333332
329,Outro,50,2,1,1,1850,540,2390,47.8
330,Brooklin,85,2,2,1,2800,700,3500,41.17647
331,Outro,95,2,1,0,2300,100,2400,25.263159
332,Bela Vista,30,1,1,1,1800,514,2314,77.13333
333,Vila Andrade,65,3,2,2,1900,960,2860,44.0
334,Outro,56,2,1,1,2000,550,2550,45.535713
335,Campo Belo,170,4,4,2,3900,1530,5430,31.941177
336,Vila Olímpia,50,1,1,1,2620,1095,3715,74.3
337,Ipiranga,35,1,1,1,2450,407,2857,81.62857
338,Vila Madalena,90,3,2,1,3100,527,3627,40.3
339,Pinheiros,108,3,2,1,2340,1138,3478,32.203705
340,Outro,74,2,2,2,3200,688,3888,52.54054
341,Santo Amaro,45,1,1,1,2000,528,2528,56.177776
342,Bela Vista,45,1,1,1,3000,544,3544,78.755554
343,Consolação,159,4,5,2,8500,1300,9800,61.63522
344,Alto da Lapa,93,3,2,2,4500,1065,5565,59.83871
345,Moema,70,2,2,1,3000,880,3880,55.42857
346,Butantã,55,2,1,1,1800,700,2500,45.454544
347,Campo Belo,73,2,2,1,2900,850,3750,51.36986
348,Higienópolis,33,1,1,1,1400,600,2000,60.60606
349,Vila Andrade,68,2,2,1,1850,528,2378,34.97059
350,Água Branca,65,2,2,1,2300,420,2720,41.846153
351,Vila Madalena,55,2,2,0,4800,700,5500,100.0
352,Pompeia,80,3,3,2,2800,750,3550,44.375
353,Campo Belo,161,3,5,3,8990,1716,10706,66.496895
354,Tatuapé,45,1,1,1,2100,500,2600,57.77778
355,Cerqueira César,40,1,1,1,1600,1300,2900,72.5
356,Jardim Marajoara,50,2,1,1,1500,500,2000,40.0
357,Perdizes,173,4,5,3,11500,2800,14300,82.65896
358,Pinheiros,45,1,1,1,2500,750,3250,72.22222
359,Aclimação,50,2,1,1,1550,550,2100,42.0
360,Chácara Klabin,40,1,1,1,3400,560,3960,99.0
361,Vila Mariana,90,2,2,2,4899,950,5849,64.98889
362,Jardins,41,1,1,1,2600,700,3300,80.48781
363,Jardim Paulista,57,1,2,1,2000,610,2610,45.789474
364,Perdizes,84,2,2,2,4000,850,4850,57.738094
365,Campo Belo,34,1,1,1,2000,500,2500,73.52941
366,Moema,48,1,1,1,2400,982,3382,70.458336
367,Mirandópolis,70,3,2,1,1900,807,2707,38.67143
368,Pinheiros,74,2,1,2,6219,1643,7862,106.24324
369,Cambuci,64,3,2,1,2100,490,2590,40.46875
370,Chácara Santo Antônio,90,2,3,2,6500,700,7200,80.0
371,Outro,78,2,2,1,5000,0,5000,64.10256
372,Vila Olímpia,78,2,3,1,2200,1190,3390,43.46154
373,Consolação,29,1,1,0,1300,443,1743,60.103447
374,Campo Belo,60,2,2,1,2999,918,3917,65.28333
375,Outro,90,2,2,1,2000,1051,3051,33.9
376,Móoca,90,3,2,2,2500,550,3050,33.88889
377,Pinheiros,60,1,2,0,2200,421,2621,43.683334
378,Vila Clementino,65,2,2,2,2500,1032,3532,54.338463
379,Perdizes,170,4,3,3,8490,2200,10690,62.882355
380,Vila Buarque,33,1,1,1,1200,737,1937,58.696968
381,Vila Andrade,58,2,1,2,1300,815,2115,36.46552
382,Campo Belo,96,3,2,1,3600,1080,4680,48.75
383,Brooklin,70,2,2,1,3000,790,3790,54.142857
384,Brooklin,70,2,2,1,4000,724,4724,67.48572
385,Chácara Santo Antônio,106,2,3,2,5500,1200,6700,63.207546
386,Barra Funda,65,1,2,1,2600,510,3110,47.846153
387,Consolação,35,1,1,1,1600,425,2025,57.857143
388,Bela Vista,23,1,1,0,1200,220,1420,61.739132
389,Ipiranga,60,2,2,1,2500,750,3250,54.166668
390,Outro,73,3,2,2,2950,700,3650,50.0
391,Pinheiros,73,2,3,2,3500,1200,4700,64.38356
392,Itaim Bibi,45,1,1,0,1900,625,2525,56.11111
393,Vila Leopoldina,35,1,1,0,1650,305,1955,55.857143
394,Outro,50,2,1,1,1400,500,1900,38.0
395,Outro,85,4,3,1,2100,900,3000,35.294117
396,Aclimação,170,3,1,2,5500,2288,7788,45.811764
397,Ipiranga,62,1,2,1,3600,560,4160,67.09677
398,Bela Vista,52,2,1,1,4500,475,4975,95.67308
399,Outro,40,1,1,0,950,0,950,23.75
400,Barra Funda,35,2,1,0,1820,290,2110,60.285713
401,Moema,60,2,2,1,2550,890,3440,57.333332
402,Perdizes,223,4,6,6,12000,3705,15705,70.42601
403,Vila Nova Conceição,332,4,5,4,38000,0,38000,114.45783
404,Móoca,44,1,1,0,1150,280,1430,32.5
405,Vila Andrade,106,3,3,2,6500,0,6500,61.320755
406,Campo Belo,268,2,4,4,20000,2730,22730,84.81343
407,Saúde,69,2,1,1,1600,447,2047,29.666666
408,Tatuapé,66,2,2,1,1800,600,2400,36.363636
409,Vila Mariana,77,3,1,2,3500,770,4270,55.454544
410,Saúde,56,2,2,1,2999,551,3550,63.392857
411,Moema,115,3,2,2,3300,2600,5900,51.304348
412,Moema,70,2,3,1,3800,832,4632,66.171425
413,Santa Cecília,38,1,1,1,2000,528,2528,66.52631
414,Vila Olímpia,273,4,6,5,34000,4776,38776,142.03664
415,Vila Leopoldina,172,3,5,3,6800,1700,8500,49.418606
416,Moema,75,2,2,1,2400,1027,3427,45.693333
417,Vila Nova Conceição,80,2,2,2,10000,1656,11656,145.7
418,Cerqueira César,107,3,3,1,4000,1382,5382,50.299065
419,Vila Olímpia,48,1,2,1,2500,605,3105,64.6875
420,Santana,42,2,1,1,2200,0,2200,52.38095
421,Outro,52,2,1,1,1150,370,1520,29.23077
422,Moema,27,1,1,0,2200,314,2514,93.111115
423,Outro,75,3,2,1,1400,750,2150,28.666666
424,Cerqueira César,88,4,2,0,2800,824,3624,41.18182
425,Barra Funda,68,2,2,1,2400,600,3000,44.117645
426,Mirandópolis,40,1,1,1,1500,645,2145,53.625
427,Morumbi,79,2,2,2,3200,769,3969,50.240505
428,Vila Mariana,81,2,2,2,3100,0,3100,38.271606
429,Jardim América,100,2,3,1,5000,1050,6050,60.5
430,Santa Cecília,43,1,1,1,2290,800,3090,71.860466
431,Freguesia do Ó,65,3,1,1,1500,545,2045,31.461538
432,República,28,1,1,0,1700,250,1950,69.64286
433,Outro,183,3,5,4,10200,1800,12000,65.57377
434,Barra Funda,62,2,1,1,2800,730,3530,56.935482
435,Brooklin,45,1,1,1,2500,750,3250,72.22222
436,Saúde,41,1,1,1,1800,723,2523,61.536587
437,Outro,120,2,2,2,11990,1400,13390,111.583336
438,Perdizes,43,1,1,0,1500,410,1910,44.418606
439,Jardim Marajoara,72,3,2,1,2200,660,2860,39.72222
440,Outro,64,2,2,1,2600,500,3100,48.4375
441,Jardim Marajoara,68,2,2,2,2000,700,2700,39.705883
442,Cidade Monções,38,1,1,1,2900,600,3500,92.10526
443,Pinheiros,332,4,5,4,30000,4150,34150,102.86144
444,Outro,74,3,1,1,2077,760,2837,38.337837
445,Brooklin,69,2,2,1,5300,520,5820,84.347824
446,Itaim Bibi,118,2,2,1,3500,1043,4543,38.5
447,Perdizes,90,2,1,0,2400,500,2900,32.22222
448,Moema,74,2,1,1,1800,620,2420,32.7027
449,Outro,60,2,1,1,1200,570,1770,29.5
450,Saúde,58,2,2,1,2000,763,2763,47.63793
451,Outro,40,1,1,0,1300,0,1300,32.5
452,Pinheiros,173,4,4,2,6000,2300,8300,47.97688
453,Pinheiros,37,1,1,1,2600,700,3300,89.189186
454,Jardim Paulista,80,2,2,0,2800,380,3180,39.75
455,Brooklin,130,3,4,2,5000,1480,6480,49.846153
456,Outro,50,1,1,0,690,589,1279,25.58
457,Itaim Bibi,46,1,2,1,2200,1000,3200,69.565216
458,Brooklin,111,3,3,2,6500,980,7480,67.38739
459,Paraíso,109,3,3,1,3100,1152,4252,39.009174
460,Santa Cecília,67,1,1,0,1200,620,1820,27.164179
461,Outro,73,3,2,1,2500,750,3250,44.52055
462,Moema,100,3,3,1,5500,950,6450,64.5
463,Vila Romana,121,3,5,2,6500,1100,7600,62.809917
464,Pinheiros,60,2,1,0,1950,430,2380,39.666668
465,Vila Mascote,87,3,3,2,2500,1100,3600,41.37931
466,Cidade Monções,125,3,3,2,4750,1300,6050,48.4
467,Pinheiros,87,2,3,1,3500,1080,4580,52.643677
468,Outro,63,3,2,1,2000,676,2676,42.47619
469,Outro,90,2,2,1,1200,380,1580,17.555555
470,Consolação,51,2,1,1,3100,870,3970,77.84314
471,Vila Mariana,59,2,2,2,2700,1349,4049,68.62712
